parameter_name,module_name,shape,ndim,numel,requires_grad,assigned_optimizer,optimizer_group_id,learning_rate,weight_decay,momentum,beta1,beta2,epsilon,nesterov,use_newton_schulz,ns_method,ns_iterations,update_rms_target,reason_for_assignment,expected_optimizer_from_report,compliance_status
embed_tokens.weight,embed_tokens,49152x704,2,34603008,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.attn_norm.weight,layers.0.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.attn.sinks,layers.0.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.attn.q_a_proj.weight,layers.0.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.q_a_norm.weight,layers.0.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.attn.q_b_proj.weight,layers.0.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.kv_proj.weight,layers.0.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.kv_norm.weight,layers.0.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.attn.o_a_proj.weight,layers.0.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.o_b_proj.weight,layers.0.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.compressor.position_bias,layers.0.attn.compressor,128x64,2,8192,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.compressor.kv_proj.weight,layers.0.attn.compressor.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.compressor.gate_proj.weight,layers.0.attn.compressor.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.attn.compressor.kv_norm.weight,layers.0.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.ffn_norm.weight,layers.0.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.ffn.gate.weight,layers.0.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.0.ffn.experts.gate_up_proj,layers.0.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.ffn.experts.down_proj,layers.0.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.ffn.shared_experts.gate_proj.weight,layers.0.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.ffn.shared_experts.up_proj.weight,layers.0.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.0.ffn.shared_experts.down_proj.weight,layers.0.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn_norm.weight,layers.1.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.attn.sinks,layers.1.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.attn.q_a_proj.weight,layers.1.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.q_a_norm.weight,layers.1.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.attn.q_b_proj.weight,layers.1.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.kv_proj.weight,layers.1.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.kv_norm.weight,layers.1.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.attn.o_a_proj.weight,layers.1.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.o_b_proj.weight,layers.1.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.compressor.position_bias,layers.1.attn.compressor,128x64,2,8192,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.compressor.kv_proj.weight,layers.1.attn.compressor.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.compressor.gate_proj.weight,layers.1.attn.compressor.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.attn.compressor.kv_norm.weight,layers.1.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.ffn_norm.weight,layers.1.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.ffn.gate.weight,layers.1.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.1.ffn.experts.gate_up_proj,layers.1.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.ffn.experts.down_proj,layers.1.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.ffn.shared_experts.gate_proj.weight,layers.1.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.ffn.shared_experts.up_proj.weight,layers.1.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.1.ffn.shared_experts.down_proj.weight,layers.1.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn_norm.weight,layers.2.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.sinks,layers.2.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.q_a_proj.weight,layers.2.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.q_a_norm.weight,layers.2.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.q_b_proj.weight,layers.2.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.kv_proj.weight,layers.2.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.kv_norm.weight,layers.2.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.o_a_proj.weight,layers.2.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.o_b_proj.weight,layers.2.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.position_bias,layers.2.attn.compressor,4x128,2,512,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.kv_proj.weight,layers.2.attn.compressor.kv_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.gate_proj.weight,layers.2.attn.compressor.gate_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.kv_norm.weight,layers.2.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.compressor.indexer.position_bias,layers.2.attn.compressor.indexer,4x64,2,256,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.indexer.kv_proj.weight,layers.2.attn.compressor.indexer.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.indexer.gate_proj.weight,layers.2.attn.compressor.indexer.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.indexer.kv_norm.weight,layers.2.attn.compressor.indexer.kv_norm,32,1,32,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.attn.compressor.indexer.q_b_proj.weight,layers.2.attn.compressor.indexer.q_b_proj,352x352,2,123904,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.attn.compressor.indexer.scorer.weights_proj.weight,layers.2.attn.compressor.indexer.scorer.weights_proj,11x704,2,7744,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.ffn_norm.weight,layers.2.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.ffn.gate.weight,layers.2.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.2.ffn.experts.gate_up_proj,layers.2.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.ffn.experts.down_proj,layers.2.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.ffn.shared_experts.gate_proj.weight,layers.2.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.ffn.shared_experts.up_proj.weight,layers.2.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.2.ffn.shared_experts.down_proj.weight,layers.2.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn_norm.weight,layers.3.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.attn.sinks,layers.3.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.attn.q_a_proj.weight,layers.3.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.q_a_norm.weight,layers.3.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.attn.q_b_proj.weight,layers.3.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.kv_proj.weight,layers.3.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.kv_norm.weight,layers.3.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.attn.o_a_proj.weight,layers.3.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.o_b_proj.weight,layers.3.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.compressor.position_bias,layers.3.attn.compressor,128x64,2,8192,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.compressor.kv_proj.weight,layers.3.attn.compressor.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.compressor.gate_proj.weight,layers.3.attn.compressor.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.attn.compressor.kv_norm.weight,layers.3.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.ffn_norm.weight,layers.3.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.ffn.gate.weight,layers.3.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.3.ffn.experts.gate_up_proj,layers.3.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.ffn.experts.down_proj,layers.3.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.ffn.shared_experts.gate_proj.weight,layers.3.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.ffn.shared_experts.up_proj.weight,layers.3.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.3.ffn.shared_experts.down_proj.weight,layers.3.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.4.attn_norm.weight,layers.4.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.4.attn.sinks,layers.4.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.4.attn.q_a_proj.weight,layers.4.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.4.attn.q_a_norm.weight,layers.4.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.4.attn.q_b_proj.weight,layers.4.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.4.attn.kv_proj.weight,layers.4.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.4.attn.kv_norm.weight,layers.4.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.4.attn.o_a_proj.weight,layers.4.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.4.attn.o_b_proj.weight,layers.4.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
