parameter_name,module_name,shape,ndim,numel,requires_grad,assigned_optimizer,optimizer_group_id,learning_rate,weight_decay,momentum,beta1,beta2,epsilon,nesterov,use_newton_schulz,ns_method,ns_iterations,update_rms_target,reason_for_assignment,expected_optimizer_from_report,compliance_status
layers.8.attn.compressor.indexer.position_bias,layers.8.attn.compressor.indexer,4x64,2,256,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.attn.compressor.indexer.kv_proj.weight,layers.8.attn.compressor.indexer.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.attn.compressor.indexer.gate_proj.weight,layers.8.attn.compressor.indexer.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.attn.compressor.indexer.kv_norm.weight,layers.8.attn.compressor.indexer.kv_norm,32,1,32,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.8.attn.compressor.indexer.q_b_proj.weight,layers.8.attn.compressor.indexer.q_b_proj,352x352,2,123904,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.attn.compressor.indexer.scorer.weights_proj.weight,layers.8.attn.compressor.indexer.scorer.weights_proj,11x704,2,7744,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.ffn_norm.weight,layers.8.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.8.ffn.gate.weight,layers.8.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.8.ffn.experts.gate_up_proj,layers.8.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.ffn.experts.down_proj,layers.8.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.ffn.shared_experts.gate_proj.weight,layers.8.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.ffn.shared_experts.up_proj.weight,layers.8.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.8.ffn.shared_experts.down_proj.weight,layers.8.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn_norm.weight,layers.9.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.attn.sinks,layers.9.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.attn.q_a_proj.weight,layers.9.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.q_a_norm.weight,layers.9.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.attn.q_b_proj.weight,layers.9.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.kv_proj.weight,layers.9.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.kv_norm.weight,layers.9.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.attn.o_a_proj.weight,layers.9.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.o_b_proj.weight,layers.9.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.compressor.position_bias,layers.9.attn.compressor,128x64,2,8192,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.compressor.kv_proj.weight,layers.9.attn.compressor.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.compressor.gate_proj.weight,layers.9.attn.compressor.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.attn.compressor.kv_norm.weight,layers.9.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.ffn_norm.weight,layers.9.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.ffn.gate.weight,layers.9.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.9.ffn.experts.gate_up_proj,layers.9.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.ffn.experts.down_proj,layers.9.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.ffn.shared_experts.gate_proj.weight,layers.9.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.ffn.shared_experts.up_proj.weight,layers.9.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.9.ffn.shared_experts.down_proj.weight,layers.9.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn_norm.weight,layers.10.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.sinks,layers.10.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.q_a_proj.weight,layers.10.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.q_a_norm.weight,layers.10.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.q_b_proj.weight,layers.10.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.kv_proj.weight,layers.10.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.kv_norm.weight,layers.10.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.o_a_proj.weight,layers.10.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.o_b_proj.weight,layers.10.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.position_bias,layers.10.attn.compressor,4x128,2,512,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.kv_proj.weight,layers.10.attn.compressor.kv_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.gate_proj.weight,layers.10.attn.compressor.gate_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.kv_norm.weight,layers.10.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.compressor.indexer.position_bias,layers.10.attn.compressor.indexer,4x64,2,256,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.indexer.kv_proj.weight,layers.10.attn.compressor.indexer.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.indexer.gate_proj.weight,layers.10.attn.compressor.indexer.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.indexer.kv_norm.weight,layers.10.attn.compressor.indexer.kv_norm,32,1,32,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.attn.compressor.indexer.q_b_proj.weight,layers.10.attn.compressor.indexer.q_b_proj,352x352,2,123904,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.attn.compressor.indexer.scorer.weights_proj.weight,layers.10.attn.compressor.indexer.scorer.weights_proj,11x704,2,7744,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.ffn_norm.weight,layers.10.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.ffn.gate.weight,layers.10.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.10.ffn.experts.gate_up_proj,layers.10.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.ffn.experts.down_proj,layers.10.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.ffn.shared_experts.gate_proj.weight,layers.10.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.ffn.shared_experts.up_proj.weight,layers.10.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.10.ffn.shared_experts.down_proj.weight,layers.10.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn_norm.weight,layers.11.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.attn.sinks,layers.11.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.attn.q_a_proj.weight,layers.11.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.q_a_norm.weight,layers.11.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.attn.q_b_proj.weight,layers.11.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.kv_proj.weight,layers.11.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.kv_norm.weight,layers.11.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.attn.o_a_proj.weight,layers.11.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.o_b_proj.weight,layers.11.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.compressor.position_bias,layers.11.attn.compressor,128x64,2,8192,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.compressor.kv_proj.weight,layers.11.attn.compressor.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.compressor.gate_proj.weight,layers.11.attn.compressor.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.attn.compressor.kv_norm.weight,layers.11.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.ffn_norm.weight,layers.11.ffn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.ffn.gate.weight,layers.11.ffn.gate,16x704,2,11264,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.11.ffn.experts.gate_up_proj,layers.11.ffn.experts,16x1024x704,3,11534336,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.ffn.experts.down_proj,layers.11.ffn.experts,16x704x512,3,5767168,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.ffn.shared_experts.gate_proj.weight,layers.11.ffn.shared_experts.gate_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.ffn.shared_experts.up_proj.weight,layers.11.ffn.shared_experts.up_proj,512x704,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.11.ffn.shared_experts.down_proj.weight,layers.11.ffn.shared_experts.down_proj,704x512,2,360448,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn_norm.weight,layers.12.attn_norm,704,1,704,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.12.attn.sinks,layers.12.attn,11,1,11,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.12.attn.q_a_proj.weight,layers.12.attn.q_a_proj,352x704,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.q_a_norm.weight,layers.12.attn.q_a_norm,352,1,352,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.12.attn.q_b_proj.weight,layers.12.attn.q_b_proj,704x352,2,247808,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.kv_proj.weight,layers.12.attn.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.kv_norm.weight,layers.12.attn.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.12.attn.o_a_proj.weight,layers.12.attn.o_a_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.o_b_proj.weight,layers.12.attn.o_b_proj,704x64,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.position_bias,layers.12.attn.compressor,4x128,2,512,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.kv_proj.weight,layers.12.attn.compressor.kv_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.gate_proj.weight,layers.12.attn.compressor.gate_proj,128x704,2,90112,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.kv_norm.weight,layers.12.attn.compressor.kv_norm,64,1,64,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
layers.12.attn.compressor.indexer.position_bias,layers.12.attn.compressor.indexer,4x64,2,256,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.indexer.kv_proj.weight,layers.12.attn.compressor.indexer.kv_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.indexer.gate_proj.weight,layers.12.attn.compressor.indexer.gate_proj,64x704,2,45056,True,Muon,0,0.0003,0.1,0.95,0.9,0.95,1e-20,True,True,hybrid,10,0.18,logical matrix or packed logical matrices,Muon,PASS
layers.12.attn.compressor.indexer.kv_norm.weight,layers.12.attn.compressor.indexer.kv_norm,32,1,32,True,AdamW,1,0.0003,0.1,0.95,0.9,0.95,1e-20,True,False,hybrid,10,0.18,report semantic exclusion,AdamW,PASS
